Student,SAT,GPA,Interest,High School Quality,Semester 1,Semester 2,Semester 3,Semester 4,Donor
Abbess Horror,1300,3.61,10,7,95,86,91,94,TRUE
Adele Hawthorne,1400,3.67,0,9,97,83,85,86,TRUE
Adelicia von Krupp,900,4,5,2,88,92,83,72,TRUE
Adriana Soria,1360,3.19,0,9,90,85,97,87,TRUE
Adriana Princess,1180,2.93,2,7,93,81,90,87,TRUE
Adrienne Frost,1180,3,6,7,95,88,97,97,TRUE
Agatha Timly,1140,2.98,10,8,92,81,95,90,TRUE
Agent Anesthesia,1190,3.08,1,7,96,82,83,81,TRUE
Aghanne Buffalo,1400,3.39,10,9,85,87,92,98,TRUE
Aguja Buffalo,1310,3.92,8,4,95,88,87,95,TRUE
Akira Kiamata,1310,4,1,1,90,86,81,82,FALSE
Alaisa Ruatha Pethnan,1100,3.22,10,3,93,89,94,96,FALSE
Alchemist Student,1150,4.6,9,2,86,90,83,89,FALSE
Aldebron James,1220,3.08,7,10,96,92,81,84,FALSE
Aleksandra Nikolaevna,1340,4,2,4,90,89,95,92,FALSE
Alflyse Freshman,1400,3.44,10,2,88,92,85,67,FALSE
Alice Hayes,1000,4.2,3,3,86,85,86,79,FALSE
Alice Nugent,950,2.56,5,7,97,88,95,89,FALSE
Alice Tremaine,1420,3.75,10,1,88,83,87,94,FALSE
Alizon Baunacha,1350,3.81,7,7,92,86,81,83,TRUE
Alkhema Salad,1160,3.17,0,4,87,87,81,93,FALSE
Allatou Buffalo,1190,3.63,3,3,90,91,83,89,TRUE
Alma Chalmers,950,2.82,7,3,88,90,90,82,FALSE
Amanda Mueller,1200,4.8,0,1,90,82,90,93,FALSE
Amber Alexis,1250,3.35,2,9,97,89,97,89,FALSE
Amie Zamborano,1420,4.2,3,2,97,87,95,98,FALSE
Amity Hunter,1380,3.61,0,7,96,90,88,94,FALSE
Anastasia Kravinoff,1500,3.74,0,0,92,86,81,90,FALSE
Anastasia Summit,1240,3.22,3,10,97,90,82,98,FALSE
Andrea Haggard,1090,3.29,5,8,95,82,97,76,FALSE
Andrea Janson,1530,3.78,7,4,95,85,89,94,TRUE
Andrea Roarke,1310,3.35,7,9,89,87,83,55,TRUE
Andrea von Strucker,1180,3.4,9,9,93,84,90,96,TRUE
Angela Bradford,1520,4.35,5,3,94,85,84,81,TRUE
Angela Golden,1200,4.9,10,1,87,89,97,85,TRUE
Angelina Brancale,1190,3.05,8,7,94,91,98,93,TRUE
Angeline Kutter,1240,3.25,2,2,86,83,90,92,TRUE
Anita Ehren,1260,2.9,0,0,94,85,82,89,TRUE
Ann Fraley,1180,3.13,8,6,86,83,97,82,TRUE
Ann Herd,1200,2.68,9,1,90,88,86,80,TRUE
Anna Frankenstein,1050,2.42,5,4,93,90,92,98,TRUE
Anne Mutant,1330,3.32,8,8,97,87,97,87,FALSE
Anne Marie Cortez,1210,3.15,0,9,91,91,85,96,FALSE
Anzhela Federova,1280,3.31,10,3,92,91,87,80,FALSE
Aranda Charboneau,1260,2.94,1,9,91,92,96,96,FALSE
Araoha Tepania,1140,3.45,1,10,85,87,95,94,FALSE
Ariana Saddiqi,1250,3.46,4,3,86,88,85,77,FALSE
Arianna Jankos,1160,2.97,10,9,88,82,95,83,FALSE
Ariel Tremmore,1140,2.48,8,5,94,81,89,82,FALSE
Asahiri Aoki,1290,3.35,0,0,91,82,82,77,FALSE
